question,answer,explanation,evidence_KG,hop,target_protein_id,interaction_count
"A cell expresses the histone deacetylase complex HDAC1/2, which includes HDAC1 (Q13547), HDAC2 (Q92769), RBBP4 (Q09028), RBBP7 (Q16576), SIN3A (Q96ST3), SAP30 (O75446), and SAP18 (O75528). The complex requires all subunits for catalytic activity. If a mutation in RBBP7 prevents its interaction with HDAC1, but HDAC2 and RBBP4 are overexpressed, what is the most likely effect on histone deacetylation function?",Loss of function,"1. HDAC1/2 complex acts as a multi-subunit AND-gate: all core components (HDAC1, HDAC2, RBBP4, RBBP7, SIN3A, etc.) are required for full catalytic activity. 2. The RBBP7 mutation disrupts its interaction with HDAC1, impairing complex assembly. 3. Overexpression of HDAC2 and RBBP4 cannot compensate for the missing RBBP7-HDAC1 interaction. 4. The defective complex fails to form properly, leading to loss of deacetylase function despite overexpression of other subunits.","[""(HDAC1, interacts_with, RBBP7)"", ""(HDAC1/2_complex, requires, AND-gate: HDAC1, HDAC2, RBBP4, RBBP7, SIN3A, etc.)"", ""(RBBP7_mutant, disrupts_interaction_with, HDAC1)"", ""(HDAC2_overexpression, no_effect, complex_assembly_without_RBBP7)"", ""(RBBP4_overexpression, no_effect, complex_assembly_without_RBBP7)""]",5,reactome:R-HSA-8937042,37
"The histone acetyltransferase complex containing CBP (Q01196) and p300 (Q13951) recruits histones H3 (P68431), H4 (P62805), H2A (Q71DI3), and H2B (P84243) via the histone chaperone SPT6 (Q96ST3). If a loss-of-function mutation in SPT6 prevents histone recruitment, but a constitutively active CBP-p300 fusion bypasses SPT6 and directly acetylates histones, what is the expected effect on histone acetylation marks, and why?",Restored acetylation via the bypass mechanism,"1. Wild-type CBP/p300 requires SPT6 to recruit histones for acetylation. 2. SPT6 loss-of-function prevents histone recruitment, blocking acetylation. 3. A constitutively active CBP-p300 fusion directly acetylates histones without needing SPT6. 4. This bypasses the SPT6-dependent recruitment step. 5. Therefore, histone acetylation is restored despite SPT6 mutation.","[""(CBP, interacts_with, SPT6)"", ""(p300, interacts_with, SPT6)"", ""(SPT6, recruits, histone_H3)"", ""(SPT6, recruits, histone_H4)"", ""(SPT6, recruits, histone_H2A)"", ""(SPT6, recruits, histone_H2B)"", ""(CBP-p300_fusion, acetylates, histone_H3)"", ""(CBP-p300_fusion, acetylates, histone_H4)"", ""(CBP-p300_fusion, acetylates, histone_H2A)"", ""(CBP-p300_fusion, acetylates, histone_H2B)""]",5,reactome:R-HSA-8936978,37
"In a signaling pathway involving the protein CDK2 (P28749), its activator Cyclin E (Q15329), and its inhibitor p27Kip1 (Q15186). If a cell expresses a mutant form of Cyclin E that cannot bind CDK2, but p27Kip1 is also knocked down, what is the net effect on CDK2 kinase activity and why?",CDK2 activity remains low,"1. CDK2 requires binding to Cyclin E for activation, forming the Cyclin E-CDK2 complex. 2. p27Kip1 inhibits CDK2 by binding to the Cyclin-CDK complex. 3. The Cyclin E mutant fails to bind CDK2, preventing complex formation. 4. Without the Cyclin E-CDK2 complex, CDK2 remains inactive regardless of p27Kip1 status. 5. Knocking down p27Kip1 removes inhibition, but since the activating complex cannot form, CDK2 activity remains low. This illustrates a bottleneck constraint: both Cyclin E binding AND absence of inhibition are required, but the upstream failure (no complex) overrides downstream interventions.","[""(Cyclin_E, activates, CDK2)"", ""(p27Kip1, inhibits, CDK2)"", ""(Cyclin_E_mutant, fails_to_bind, CDK2)"", ""(p27Kip1_knockdown, removes, inhibition)""]",4,uniprotkb:P28749,37
"Protein P48357 (TLE1) is a transcriptional repressor that interacts with STAT3 and HDAC1 in the context of cytokine signaling. In a cell line with hyperactive STAT3 (gain-of-function) and a mutation in HDAC1 that disrupts its deacetylase activity, what is the expected effect on TLE1-mediated repression of target genes?",Loss of repression (derepression),"1. TLE1 represses transcription by recruiting HDAC1 to target promoters. 2. HDAC1 deacetylates histones, leading to chromatin condensation and repression. 3. Hyperactive STAT3 competes with TLE1 for binding to target promoters, favoring activation. 4. Mutant HDAC1 fails to deacetylate histones, impairing TLE1's repressive function. 5. The combined effects of hyperactive STAT3 and dysfunctional HDAC1 override TLE1-mediated repression, resulting in derepression.","[""(TLE1, interacts_with, STAT3)"", ""(TLE1, interacts_with, HDAC1)"", ""(HDAC1, deacetylates, histones)"", ""(Hyperactive_STAT3, competes_with, TLE1)"", ""(HDAC1_mutant, disrupts, deacetylase_activity)""]",5,uniprotkb:P48357,37
"In a DNA replication experiment, the complex PCNA-RFC loads the DNA polymerase delta (POLD) onto DNA. RFC is composed of RFC1 (P49005), RFC2 (Q9HCU8), RFC3 (Q15054), RFC4 (P28340), and RFC5 (P35244). If RFC5 has a dominant negative mutation that prevents its dissociation after loading, what happens to the DNA replication efficiency when wild-type RFC is replaced by this mutant RFC complex?",Severely reduced replication efficiency,"1. RFC is a clamp loader complex that assembles PCNA onto DNA. 2. PCNA then recruits DNA polymerase delta (POLD) for processive DNA synthesis. 3. RFC normally dissociates after loading PCNA to allow polymerase binding. 4. A dominant negative RFC5 mutation prevents dissociation, locking RFC on PCNA. 5. This blocks POLD access to PCNA, stalling replication. 6. The mutant RFC5 poisons the entire RFC complex, making it non-functional even if other subunits are wild-type.","[""(RFC, composed_of, RFC1)"", ""(RFC, composed_of, RFC2)"", ""(RFC, composed_of, RFC3)"", ""(RFC, composed_of, RFC4)"", ""(RFC, composed_of, RFC5)"", ""(RFC, loads, PCNA-DNA)"", ""(PCNA-DNA, recruits, POLD)"", ""(RFC5_mutant, prevents_dissociation, RFC)"", ""(RFC_mutant, blocks, POLD_access)""]",6,reactome:R-ALL-68422,37
"In a signaling pathway, ERBB2 (Q92730) forms heterodimers with EGFR (P04626) and ERBB3 (Q92854), leading to activation of downstream kinases. A cell line expresses wild-type ERBB2, EGFR, and ERBB3, but carries a mutation in SHC1 (Q15464) that prevents its phosphorylation by ERBB2. Simultaneously, a drug blocks the dimerization interface of ERBB2 and ERBB3. What is the net effect on MAPK pathway activation, and why?",Partial MAPK activation via EGFR-dependent signaling,"1. ERBB2 heterodimerizes with EGFR or ERBB3 to initiate signaling. 2. The drug specifically blocks ERBB2-ERBB3 dimerization, preventing ERBB3-mediated signaling. 3. However, ERBB2-EGFR dimerization remains possible and can still activate downstream pathways. 4. SHC1 is a key adaptor that links receptor tyrosine kinases (like EGFR) to MAPK activation via GRB2-SOS-Ras. 5. The SHC1 mutation prevents its phosphorylation, disrupting the GRB2-SOS-Ras-MAPK cascade specifically from ERBB2/EGFR. 6. Alternative adaptors (e.g., GAB1) may still transmit signals from EGFR to MAPK via PI3K or other routes, but with reduced efficiency. Thus, MAPK activation is partially maintained via EGFR homodimers or other complexes not reliant on SHC1.","[""(ERBB2, dimerizes_with, EGFR)"", ""(ERBB2, dimerizes_with, ERBB3)"", ""(EGFR, phosphorylates, SHC1)"", ""(SHC1, recruits, GRB2:SOS)"", ""(GRB2:SOS, activates, RAS)"", ""(RAS, activates, MAPK_cascade)"", ""(Drug, blocks, ERBB2-ERBB3_dimerization)"", ""(SHC1_mutant, prevents_phosphorylation, by_ERBB2/EGFR)""]",8,uniprotkb:Q92730,37
"The protein complex involving FZD4 (Q9UP38) requires both Dishevelled (DVL) and GSK3-binding protein (GBP) for Wnt signaling. In a cell with a heterozygous mutation in DVL (Q92997) that acts as a dominant negative, and overexpression of GBP (O96014), what is the expected outcome on Wnt signaling pathway activation?",Signaling Failure,"1. FZD4 (Q9UP38) is a Wnt receptor that forms a complex with DVL and GBP. 2. DVL (Q92997) is essential for downstream signal transduction. 3. GBP (O96014) stabilizes the complex but cannot compensate for DVL function. 4. The dominant negative DVL mutant disrupts the entire complex, preventing signal propagation. 5. Overexpression of GBP cannot rescue the signaling defect caused by the dominant negative DVL. 6. Therefore, despite GBP overexpression, the pathway fails due to the poisoned complex.","[""(FZD4, interacts_with, DVL)"", ""(FZD4, interacts_with, GBP)"", ""(DVL, required_for, Wnt_signaling)"", ""(GBP, stabilizes, FZD4_complex)"", ""(DVL_dominant_negative_mutant, disrupts, FZD4_complex)""]",5,uniprotkb:Q9UP38,37
"The signaling pathway involves PLCB2 (P15917) which is activated by the G-protein beta-gamma subunits (P13423 and Q9H6X2) and inhibited by PKA (P40136). In a scenario where a cell has a mutation in the G-beta subunit (P13423) that prevents its interaction with PLCB2, but also expresses a constitutively active PLCB2 mutant that bypasses G-protein regulation, what is the net effect on PIP2 hydrolysis?",PIP2 hydrolysis occurs normally,"1. Normally, PLCB2 requires activation by G-beta-gamma subunits to hydrolyze PIP2. 2. The mutation in G-beta prevents PLCB2 activation via the G-protein pathway. 3. However, the constitutively active PLCB2 mutant does not require G-beta-gamma for activation. 4. Therefore, PLCB2 remains active and hydrolyzes PIP2 independently of the upstream defect.","[""(G-beta-gamma, activates, PLCB2)"", ""(PLCB2, hydrolyzes, PIP2)"", ""(PKA, inhibits, PLCB2)"", ""(G-beta_mutant, prevents_interaction_with, PLCB2)"", ""(PLCB2_active_mutant, bypasses, G-protein_activation)""]",5,uniprotkb:P15917,37
"The collagen complex requires COL4A1 (Q14031), COL4A2 (P08572), and COL4A3 (P29400) to form a stable heterotrimer. If COL4A3 carries a dominant negative mutation that disrupts trimerization, while COL4A1 and COL4A2 are wild-type and expressed at normal levels, what is the functional outcome for basement membrane assembly?",Basement membrane assembly fails,"1. Basement membrane assembly depends on a functional collagen IV heterotrimer. 2. The heterotrimer requires stoichiometric assembly of COL4A1, COL4A2, and COL4A3. 3. A dominant negative mutation in COL4A3 poisons the complex, preventing proper trimerization even if COL4A1 and COL4A2 are functional. 4. Without a stable trimer, collagen IV cannot integrate into the basement membrane.","[""(COL4A1, forms_complex_with, COL4A2)"", ""(COL4A1, forms_complex_with, COL4A3)"", ""(COL4A2, forms_complex_with, COL4A3)"", ""(COL4A1:COL4A2:COL4A3_heterotrimer, required_for, basement_membrane_assembly)"", ""(COL4A3_DN_mutant, disrupts, trimerization)""]",4,uniprotkb:Q14031,36
"In a cell model, the target protein P10070 (RARB) forms a complex with RXR-alpha (Q13618) and is recruited to DNA response elements upon ligand binding. A mutation in RARB weakens its dimerization with RXR-alpha. Simultaneously, a drug is applied that stabilizes the interaction between RARB and co-repressor NCOR2 (Q15596). If the cell is exposed to retinoic acid (RA), which normally activates RARB, what is the net effect on transcription of RARB target genes?",Repressed transcription,"1. RARB requires dimerization with RXR-alpha for functional DNA binding and activation. 2. The mutation weakens RARB–RXR dimerization, reducing complex formation. 3. RA binding normally causes RARB to release co-repressors (like NCOR2) and recruit co-activators. 4. The drug stabilizes RARB–NCOR2 interaction, preventing co-repressor release even with RA present. 5. Thus, the RARB complex remains co-repressor-bound and fails to activate transcription despite RA.","[""(RARB, dimerizes_with, RXR-alpha)"", ""(RARB-RXR_heterodimer, binds, DNA_response_element)"", ""(Retinoic_acid, binds, RARB)"", ""(RARB_ligand-binding, releases, NCOR2)"", ""(Drug, stabilizes, RARB-NCOR2_interaction)"", ""(Co-repressor_bound_RARB, represses, transcription)""]",6,uniprotkb:P10070,36
"In a cellular model, the target protein ChEBI:33722 (cAMP) is produced by ADCY7 and degraded by PDE4D. A mutation in ADCY7 reduces its catalytic activity by 80%, while a PDE4D inhibitor is applied. What is the predicted change in cAMP levels, and why?",Decrease (moderate),"1. cAMP is produced by ADCY7 and degraded by PDE4D. 2. The ADCY7 mutation reduces cAMP production capacity by 80%. 3. PDE4D inhibitor blocks degradation, which would otherwise lower cAMP levels. 4. However, the production deficit (80% loss) outweighs the degradation block. 5. Net effect is a decrease in cAMP, though less severe than without the inhibitor due to reduced degradation.","[""(ADCY7, produces, ChEBI:33722)"", ""(PDE4D, degrades, ChEBI:33722)"", ""(ADCY7_mutant, reduces_activity, 80%)"", ""(PDE4D_inhibitor, blocks, PDE4D)""]",4,ChEBI:33722,36
"In a cellular system where the H3F3A nucleosome assembly complex requires histone H3.3, H4, and the HIRA chaperone for proper deposition, what happens to nucleosome stability if H3.3 carries a mutation that impairs its interaction with H4, but HIRA is overexpressed?",Nucleosome instability persists,"1. H3.3 (H3F3A) must bind H4 to form a heterodimer. 2. This dimer is essential for the HIRA complex to deposit it onto DNA. 3. The mutation in H3.3 weakens H3.3–H4 interaction, preventing stable dimer formation. 4. Overexpression of HIRA cannot compensate because the dimer itself is defective (bottleneck). 5. Without a functional H3.3–H4 dimer, nucleosome assembly fails regardless of HIRA availability.","[""(H3F3A, interacts_with, H4)"", ""(H3F3A–H4_dimer, required_for, HIRA_complex)"", ""(HIRA_complex, deposits, nucleosome)"", ""(H3.3_mutant, weakens_interaction_with, H4)"", ""(HIRA_overexpression, does_not_compensate, defective_dimer)""]",5,reactome:R-HSA-5649949,36
"Protein Q14324 (Fibrinogen gamma chain) is part of the fibrin polymerization complex involving fibrinogen alpha (P08590), beta (P13533), gamma (Q14324), and factor XIII (P05165). In a patient with a homozygous mutation in P05165 (Factor XIII deficiency), how does the structure of the fibrin clot change compared to wild-type, and why?",Unstable clot due to impaired cross-linking,"1. Fibrin monomers (alpha, beta, gamma chains) polymerize via non-covalent interactions. 2. Factor XIII (P05165) catalyzes covalent cross-linking between fibrin monomers, stabilizing the clot. 3. Factor XIII deficiency (homozygous mutation) means no cross-linking occurs. 4. Without covalent bonds, the fibrin network remains fragile and susceptible to mechanical disruption or premature fibrinolysis.","[""(Fibrinogen_alpha, polymerizes_with, Fibrinogen_gamma)"", ""(Fibrinogen_beta, polymerizes_with, Fibrinogen_gamma)"", ""(Factor_XIII, crosslinks, Fibrin_polymer)"", ""(Factor_XIII_mutant, loss_of_function, covalent_crosslinking)""]",4,uniprotkb:Q14324,36
"In a muscle cell, the troponin complex consists of Troponin I (P08590), Troponin T (P13533), Troponin C (Q00872), and Tropomyosin (P12829). Troponin C binds calcium (ChEBI:456216) to initiate contraction. If Troponin C has a mutation that weakens its interaction with calcium, but a drug is introduced that directly activates Troponin I, what is the net effect on muscle contraction, and why?",Weak contraction persists despite Troponin I activation,"1. Calcium binding to Troponin C (Q00872) triggers conformational change. 2. This exposes actin sites by shifting Tropomyosin. 3. Troponin C mutation weakens calcium binding, reducing conformational shift. 4. Direct activation of Troponin I (P08590) bypasses upstream calcium sensing. 5. However, Troponin I activation alone is insufficient without Troponin C's structural role. 6. The weakened Troponin C-calcium interaction limits Troponin complex activation, resulting in weak contraction.","[""(Calcium, binds_to, Troponin_C)"", ""(Troponin_C, interacts_with, Troponin_I)"", ""(Troponin_C, interacts_with, Troponin_T)"", ""(Troponin_C, interacts_with, Tropomyosin)"", ""(Troponin_C_mutant, weakens_interaction_with, Calcium)"", ""(Drug, activates, Troponin_I)""]",6,uniprotkb:Q00872,36
"In skeletal muscle, the troponin complex consists of Troponin I (TNNI1; Q14896), Troponin T (TNNT1; P13805), and Troponin C (TNNC1; P63316). Mutations in Troponin I that impair its interaction with Troponin C lead to weakened calcium binding. If a muscle fiber has a Troponin I mutation (Q14896A) that disrupts Troponin C binding, and Troponin C itself has a gain-of-function mutation that enhances calcium affinity, what is the net effect on muscle contraction strength?",Decreased contraction strength,"1. Troponin I (Q14896) normally binds to Troponin C (P63316) to regulate calcium-dependent tropomyosin movement. 2. Troponin C binds calcium ions, triggering a conformational change that releases Troponin I's inhibitory hold on actin. 3. The Troponin I mutation (Q14896A) disrupts its interaction with Troponin C, preventing proper release of inhibition even when calcium is bound. 4. The gain-of-function mutation in Troponin C enhances calcium affinity but cannot overcome the structural defect in Troponin I. 5. Since Troponin I fails to disengage from actin, tropomyosin remains blocked and muscle contraction strength decreases despite enhanced calcium sensing.","[""(Troponin_I_Q14896, interacts_with, Troponin_C_P63316)"", ""(Calcium, binds_to, Troponin_C_P63316)"", ""(Troponin_C_P63316, regulates, Troponin_I_Q14896)"", ""(Troponin_I_Q14896, inhibits, Actin)"", ""(Troponin_I_mutant, disrupts_interaction, Troponin_C_P63316)"", ""(Troponin_C_mutant, enhances_affinity, Calcium)""]",6,uniprotkb:Q14896,36
"In a cancer cell line, the nuclear receptor PPARγ (P37231) forms a heterodimer with RXRα (P19793) and binds to the PPAR response element (PPRE) to activate transcription. A mutation in PPARγ weakens its interaction with the coactivator CBP (Q92793). If the cell is treated with Rosiglitazone (ChEBI:50648), which stabilizes PPARγ-RXRα binding to DNA, but also with a histone deacetylase inhibitor (ChEBI:85236) that increases histone acetylation, what is the net effect on transcription of PPARγ target genes? Justify based on the molecular interactions.",Reduced activation despite interventions,"1. PPARγ-RXRα heterodimer binds PPRE to initiate transcription. 2. Coactivators like CBP are required for full transcriptional activation by facilitating chromatin remodeling. 3. Rosiglitazone stabilizes PPARγ-DNA binding, enhancing complex formation. 4. Histone deacetylase (HDAC) inhibitors increase histone acetylation, which generally promotes transcription by relaxing chromatin. 5. However, the PPARγ mutation weakens CBP recruitment. 6. Without efficient CBP binding, the transcriptional machinery cannot be fully assembled despite stabilized DNA binding and increased histone acetylation, leading to suboptimal activation.","[""(PPARγ, dimerizes_with, RXRα)"", ""(PPARγ:RXRα, binds, PPRE)"", ""(PPARγ, recruits, CBP)"", ""(Rosiglitazone, stabilizes, PPARγ-DNA_binding)"", ""(HDAC_inhibitor, increases, histone_acetylation)"", ""(PPARγ_mutant, weakens_interaction_with, CBP)""]",6,reactome:R-HSA-9851811,36
"The target complex reactome:R-HSA-9859116 interacts with uniprotkb:P62805 in pathway reactome:R-HSA-9864869 and also with uniprotkb:Q71DI3, P84243, P62805, and P68431 in pathway reactome:R-HSA-9859117. Additionally, it engages with uniprotkb:P37231 and ChEBI:50648 in reactome:R-HSA-9864752. If a mutation in P62805 prevents its interaction with the target complex, but the complex is overexpressed with wild-type Q71DI3, P84243, and P68431, what is the most likely functional outcome for the complex's role in histone modification, and why?",Partial Function Loss (Histone Acetylation),"1. The target complex (R-HSA-9859116) requires multiple subunits for full activity. 2. P62805 is essential in one pathway (R-HSA-9864869) but redundant in another (R-HSA-9859117) where other subunits (Q71DI3, P84243, P68431) can compensate. 3. The mutation in P62805 disrupts its specific interaction, impairing the complex's function in R-HSA-9864869. 4. Overexpression of wild-type subunits maintains function in R-HSA-9859117 but not in R-HSA-9864869. 5. Thus, histone acetylation is partially impaired due to the bottleneck effect in the affected pathway.","[""(R-HSA-9859116, interacts_with, P62805)"", ""(R-HSA-9859116, interacts_with, Q71DI3)"", ""(R-HSA-9859116, interacts_with, P84243)"", ""(R-HSA-9859116, interacts_with, P68431)"", ""(P62805_mutant, disrupts_interaction, R-HSA-9859116)"", ""(R-HSA-9859116, involved_in, histone_modification)""]",6,reactome:R-HSA-9859116,36
"The protein ARHGEF1 (P84077) is a RhoGEF that activates RHOA (Q15438) by exchanging GDP for GTP. ARHGEF1 forms a complex with GNA13 (Q9UBF8) and LARG (O43739), which enhances its exchange activity. In a cell line expressing wild-type ARHGEF1, GNA13, LARG, and RHOA, what would be the effect on RHOA-GTP levels if a mutation prevents the ARHGEF1-LARG interaction, and why?",Decreased RHOA-GTP levels,"1. ARHGEF1 requires interaction with LARG for full activation of its GEF activity toward RHOA. 2. The mutation prevents ARHGEF1-LARG interaction, impairing the complex formation. 3. Without this interaction, ARHGEF1 cannot efficiently exchange GDP for GTP on RHOA. 4. Therefore, RHOA-GTP levels decrease due to reduced exchange activity.","[""(ARHGEF1, interacts_with, LARG)"", ""(ARHGEF1, activates, RHOA)"", ""(LARG, enhances, ARHGEF1_activity)"", ""(Mutation, prevents, ARHGEF1-LARG_interaction)""]",4,uniprotkb:P84077,36
"The CD4 receptor (P11912) interacts with MHC-II (HLA-DQ, HLA-DR, HLA-DM) and Lck kinase (P06239). In a T-cell expressing a mutant CD4 that cannot bind Lck, but also carrying a constitutively active Lck variant (Lck-CA), what is the functional outcome for TCR signaling when MHC-II is engaged, and why?",Normal TCR signaling,"1. CD4 normally binds MHC-II and recruits Lck to the TCR complex. 2. Lck phosphorylates the TCR ITAMs, initiating signaling. 3. A CD4 mutant that cannot bind Lck fails to recruit Lck to the TCR complex. 4. Without Lck recruitment, TCR phosphorylation is impaired. 5. However, the constitutively active Lck (Lck-CA) is autonomous and does not require CD4 recruitment. 6. Lck-CA can phosphorylate TCR ITAMs independently, restoring TCR signaling despite the CD4 mutation.","[""(CD4, interacts_with, MHC-II)"", ""(CD4, interacts_with, Lck)"", ""(Lck, phosphorylates, TCR_ITAMs)"", ""(CD4_mutant, cannot_bind, Lck)"", ""(Lck-CA, constitutively_active, true)"", ""(Lck-CA, phosphorylates, TCR_ITAMs)""]",6,uniprotkb:P11912,36
"Protein CD79B (P40259) forms a complex with CD79A, IGH, and IGK in the B cell receptor (BCR). A cell line expresses a mutant CD79B that cannot bind to IGH. However, it also expresses a constitutively active SYK (P43405) that bypasses the BCR complex. If both mutations are present, what is the functional outcome for downstream signaling (e.g., calcium flux), and why?",Signaling restored,"1. Wild-type BCR requires assembly of CD79A:CD79B heterodimer with IGH/IGK for signaling. 2. The CD79B mutant fails to bind IGH, disrupting BCR assembly → no signal initiation. 3. SYK is normally recruited to phosphorylated ITAMs on CD79A/CD79B to propagate the signal. 4. Constitutively active SYK does not require upstream BCR activation or ITAM phosphorylation. 5. Thus, active SYK directly triggers downstream pathways (like PLCγ activation and calcium flux), bypassing the defective BCR complex.","[""(CD79B, interacts_with, CD79A)"", ""(CD79B, interacts_with, IGH)"", ""(IGH, part_of, BCR_complex)"", ""(SYK, recruited_to, phosphorylated_ITAMs)"", ""(SYK, activates, PLCγ)"", ""(PLCγ, generates, calcium_flux)"", ""(CD79B_mutant, fails_to_bind, IGH)"", ""(SYK_active_mutant, bypasses, BCR_requirement)""]",6,uniprotkb:P40259,36
"Protein Q13309 (SKP1) is part of the SCF complex (SKP1, CUL1, F-box proteins, RBX1) that ubiquitinates substrates like CDKN1B (P46527). In a cell with a mutation in CUL1 (Q13616) that prevents its binding to SKP1, but with overexpression of a constitutively active F-box protein (O96020, CDC4) that can still bind SKP1, will CDKN1B ubiquitination occur? Explain the outcome based on complex assembly requirements.",Ubiquitination fails,"1. SKP1 bridges F-box proteins (e.g., CDC4) to CUL1 in the SCF complex. 2. CUL1 recruits RBX1, which brings the E2 ubiquitin-conjugating enzyme. 3. The mutation in CUL1 blocks its binding to SKP1, disrupting the core SCF scaffold. 4. Overexpression of CDC4 allows it to bind SKP1, but without CUL1, the complex cannot recruit RBX1 or the E2 enzyme. 5. Therefore, even with functional CDC4-SKP1 interaction, the SCF complex remains incomplete and cannot ubiquitinate CDKN1B. This is an AND-gate constraint: both SKP1–F-box and SKP1–CUL1 interactions are essential.","[""(SKP1, binds, F-box_proteins)"", ""(SKP1, binds, CUL1)"", ""(CUL1, binds, RBX1)"", ""(RBX1, recruits, E2_enzyme)"", ""(SCF_complex, ubiquitinates, CDKN1B)"", ""(CUL1_mutant, cannot_bind, SKP1)"", ""(CDC4_overexpressed, binds, SKP1)""]",7,uniprotkb:Q13309,36
"Protein BF (P00751) forms a complex with C3 (P01024) and Factor I (P27918) to cleave C3b into inactive fragments. If Factor I is mutated to a catalytically inactive form, but BF and C3 are wild-type, what is the most likely outcome for the complement cascade activation, and why?",Uncontrolled activation (dysregulation),"1. BF binds C3b to form the C3 convertase, amplifying complement activation. 2. Factor I normally cleaves C3b into inactive iC3b, serving as a negative regulator. 3. The mutant Factor I lacks catalytic activity, preventing C3b inactivation. 4. Without functional Factor I, C3b accumulates and continues to drive convertase formation. 5. This leads to uncontrolled amplification of the complement cascade, causing dysregulation.","[""(BF, binds, C3b)"", ""(C3b, forms_convertase_with, BF)"", ""(Factor_I, cleaves, C3b)"", ""(Factor_I_mutant, loss_of_function, catalytic_activity)"", ""(C3b_inactivation, requires, Factor_I)""]",5,uniprotkb:P00751,36
"The target protein P17844 (GABPA) forms a complex with P55317 (GABPB1) to activate transcription. In a cell line, GABPB1 is knocked out, but a constitutively active GABPA mutant (GABPA-CA) is overexpressed. Simultaneously, a small molecule inhibitor blocks the interaction between GABPA and its cofactor Q86X55 (CREB1). What is the net effect on transcription of GABPA target genes, and why?",Transcription is suppressed,"1. GABPA requires dimerization with GABPB1 to form a functional transcription factor complex (bottleneck AND-gate). 2. The knockout of GABPB1 prevents complex formation, impairing basal transcription. 3. Overexpression of GABPA-CA bypasses the need for activation signals but cannot compensate for the missing GABPB1 subunit. 4. The inhibitor blocking GABPA–CREB1 interaction disrupts an essential co-activator recruitment step. 5. Thus, even if GABPA were functional (which it isn't due to lack of GABPB1), the loss of CREB1 binding further ensures transcriptional failure.","[""(GABPA, dimerizes_with, GABPB1)"", ""(GABPA:GABPB1_complex, activates_transcription, target_genes)"", ""(GABPA, interacts_with, CREB1)"", ""(CREB1, recruits_coactivators, to_GABPA_complex)"", ""(GABPB1_knockout, removes, GABPB1_subunit)"", ""(GABPA-CA_mutant, constitutively_active, but_requires_GABPB1)"", ""(inhibitor, blocks, GABPA–CREB1_interaction)""]",7,uniprotkb:P17844,36
"In a cell line expressing CDK4, CDK6, cyclin D, and RB1, a loss-of-function mutation in CDK4 impairs the formation of the CDK4/cyclin D complex. However, overexpression of CDK6 rescues RB1 phosphorylation. What does this imply about the functional relationship between CDK4 and CDK6 in regulating the cell cycle?",CDK6 acts redundantly with CDK4 and can bypass the CDK4 mutation,"1. CDK4 normally forms a complex with cyclin D to phosphorylate RB1, promoting cell cycle progression. 2. A loss-of-function mutation in CDK4 prevents formation of the active CDK4/cyclin D complex. 3. Without CDK4 activity, RB1 phosphorylation is impaired, halting the cell cycle. 4. CDK6 can also form a complex with cyclin D and phosphorylate RB1. 5. Overexpression of CDK6 compensates for the lack of CDK4 activity by forming active CDK6/cyclin D complexes. 6. Therefore, CDK6 and CDK4 are functionally redundant kinases that both phosphorylate RB1 to regulate the cell cycle.","[""(CDK4, interacts_with, cyclin D)"", ""(CDK6, interacts_with, cyclin D)"", ""(cyclin D, forms_complex_with, CDK4)"", ""(cyclin D, forms_complex_with, CDK6)"", ""(CDK4/cyclin D, phosphorylates, RB1)"", ""(CDK6/cyclin D, phosphorylates, RB1)"", ""(CDK4_mutant, impairs, CDK4/cyclin D_formation)"", ""(CDK6_overexpression, rescues, RB1_phosphorylation)""]",8,uniprotkb:O14744,36
"The nuclear receptor PPARγ (R-HSA-5640184) forms a complex with RXRα (P19793) and is activated by ligands such as rosiglitazone (ChEBI:85236). In adipocytes, a mutation in PPARγ disrupts its dimerization with RXRα, but rosiglitazone is still administered. However, rosiglitazone fails to induce target gene expression. What is the logical constraint explaining this failure, and why does the ligand not compensate?",Bottleneck (AND-gate) for PPARγ–RXRα dimer formation,"1. PPARγ must dimerize with RXRα to form a functional transcription factor complex. 2. The dimer binds to PPRE response elements and recruits co-activators to induce gene expression. 3. Ligands like rosiglitazone bind to PPARγ and promote conformational changes that enhance dimer stability and transcriptional activity. 4. A mutation disrupting PPARγ–RXRα dimerization prevents complex formation. 5. Without dimer formation, the complex cannot bind DNA or recruit cofactors, even if rosiglitazone binds PPARγ. 6. Thus, dimerization is an essential AND-gate step that cannot be bypassed by ligand binding alone.","[""(PPARγ, dimerizes_with, RXRα)"", ""(PPARγ:RXRα_dimer, binds_to, PPRE)"", ""(rosiglitazone, binds_to, PPARγ)"", ""(rosiglitazone, enhances, PPARγ_transcriptional_activity)"", ""(PPARγ_mutant, disrupts_dimerization, RXRα)"", ""(PPARγ_mutant:RXRα_dimer, cannot_form, functional_complex)""]",6,reactome:R-HSA-5640184,36
